post_id,post_name,post_author,post_date,post_type,post_status,post_title,post_content,post_category,post_tags,custom_field
,,sugimoto,2019/05/20,post,publish,7/27 あいちトップアスリートアカデミー 岡崎会場のお申込みは終了しました。,"7/27 あいちトップアスリートアカデミー 岡崎会場のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/201907.pdf'>http://www.dosa.or.jp/event_pdf/2019/201907.pdf</a>",お知らせ,,
,,sugimoto,2019/05/10,post,publish,6/23 スポーツポテンシャル葛飾区測定会のお申込みは終了しました。,"6/23 スポーツポテンシャル葛飾区測定会のお申込みは終了しました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190623.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190623.pdf</a>",お知らせ,,
,,sugimoto,2019/04/11,post,publish,4/27～5/6たまがわキッズスポーツフェスタは終了いたしました。,4/27～5/6たまがわキッズスポーツフェスタは終了いたしました。,お知らせ,,
,,sugimoto,2019/03/22,post,publish,4/20 JALスポーツ能力測定会in新潟のお申込みは終了いたしました。,"4/20 JALスポーツ能力測定会in新潟のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190420.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190420.pdf</a>",お知らせ,,
,,sugimoto,2019/03/14,post,publish,3/24 JAL広島測定会お申込みは終了いたしました。,"3/24 JAL広島測定会お申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190324-2.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190324-2.pdf</a>",お知らせ,,
,,sugimoto,2019/03/11,post,publish,4/13 JALスポーツ能力測定会 in 鳥取のお申込みは終了いたしました。,"4/13 JALスポーツ能力測定会 in 鳥取のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190413.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190413.pdf</a>",お知らせ,,
,,sugimoto,2019/03/02,post,publish,3/27 JALスポーツ能力測定会 in 埼玉のお申込みは終了いたしました。,"3/27 JALスポーツ能力測定会 in 埼玉のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190327.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190327.pdf</a>",お知らせ,,
,,sugimoto,2019/02/26,post,publish,3/23 JALスポーツ能力測定会 in 愛知お申込みは終了いたしました。,"3/23 JALスポーツ能力測定会 in 愛知お申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190323.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190323.pdf</a>",お知らせ,,
,,sugimoto,2019/02/19,post,publish,3/16 JALスポーツ能力測定会 in 神奈川お申込みは終了いたしました。,"3/16 JALスポーツ能力測定会 in 神奈川お申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190316.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190316.pdf</a>",お知らせ,,
,,sugimoto,2019/02/12,post,publish,3/9 JALスポーツ能力測定会in静岡のお申込みは終了いたしました。,"3/9 JALスポーツ能力測定会in静岡のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190309.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190309.pdf</a>",お知らせ,,
,,sugimoto,2019/01/28,post,publish,2/23 JALスポーツ能力測定会 in 山口のお申込みは終了いたしました。,"2/23 JALスポーツ能力測定会 in 山口のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190223_YAMAGUCHI.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190223_YAMAGUCHI.pdf</a>",お知らせ,,
,,sugimoto,2019/01/16,post,publish,2/11 スポーツ能力測定会 in 小山のお申込みは終了いたしました。,"2/11 スポーツ能力測定会 in 小山のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190211.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190211.pdf</a>",お知らせ,,
,,sugimoto,2019/01/12,post,publish,2/17 板橋区スポーツポテンシャル測定会のお申込みは終了いたしました。,"2/17 板橋区スポーツポテンシャル測定会のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/20190217.pdf'>http://www.dosa.or.jp/event_pdf/2019/20190217.pdf</a>",お知らせ,,
,,sugimoto,2018/12/30,post,publish,1/19 JAL長崎測定会のお申込みは終了いたしました。,"1/19 JAL長崎測定会のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/2019/JAL_20190119_nagasaki.pdf'>http://www.dosa.or.jp/event_pdf/2019/JAL_20190119_nagasaki.pdf</a>",お知らせ,,
,,sugimoto,2018/12/10,post,publish,12/24 JAL沖縄測定会のお申込みは終了いたしました。,"12/24 JAL沖縄測定会のお申込みは終了いたしました。
<a href='http://www.dosa.or.jp/event_pdf/JAL_20181224_OKINAWA.pdf'>http://www.dosa.or.jp/event_pdf/JAL_20181224_OKINAWA.pdf</a>",お知らせ,,
,,sugimoto,2018/11/27,post,publish,12/15 JAL高知測定会のお申込みは終了いたしました。,12/15 JAL高知測定会のお申込みは終了いたしました。,お知らせ,,
,,sugimoto,2018/11/20,post,publish,12/9 JAL大阪測定会のお申込みは終了いたしました。,12/9 JAL大阪測定会のお申込みは終了いたしました。,お知らせ,,
,,sugimoto,2018/11/15,post,publish,12/8 JAL福井測定会のお申込みは終了いたしました。,12/8 JAL福井測定会のお申込みは終了いたしました。,お知らせ,,
,,sugimoto,2018/11/05,post,publish,12/1 JAL奈良測定会のお申込みは終了いたしました。,12/1 JAL奈良測定会のお申込みは終了いたしました。,お知らせ,,
,,sugimoto,2018/10/15,post,publish,11/03 JAL滋賀測定会のお申込みは終了いたしました。,11/03 JAL滋賀測定会のお申込みは終了いたしました。,お知らせ,,
,,sugimoto,2018/10/05,post,publish,台風25号接近に伴い「スポーツ能力測定会in鳥取」開催は中止となりました。,台風25号接近に伴い「スポーツ能力測定会in鳥取」開催は中止となりました。,お知らせ,,
,,sugimoto,2018/10/02,post,publish,10/28 JAL宮崎測定会のお申込み受付は終了いたしました。,10/28 JAL宮崎測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/09/11,post,publish,10/20 DOSA秋田測定会のお申込み受付は終了いたしました。,10/20 DOSA秋田測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/09/05,post,publish,10/20 DOSA豊平区測定会のお申込み受付は終了いたしました。,10/20 DOSA豊平区測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/09/05,post,publish,10/13 DOSAつくば測定会のお申込み受付は終了いたしました。,10/13 DOSAつくば測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/09/05,post,publish,10/06 JAL鳥取測定会のお申込み受付は終了いたしました。,10/06 JAL鳥取測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/09/02,post,publish,10/07 東京・三鷹測定会のお申込み受付は終了いたしました。,10/07 東京・三鷹測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/08/20,post,publish,9/17 岩手測定会のお申込み受付は終了いたしました。,9/17 岩手測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/08/01,post,publish,9/08 三重測定会のお申込み受付は終了いたしました。,9/08 三重測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/07/28,post,publish,7月28日（土）わくわくスポーツ塾～ 自分に合ったスポーツを知ろう～開催可否につきまして,"7月28日（土）わくわくスポーツ塾～ 自分に合ったスポーツを知ろう～開催可否につきまして
<a href='https://www.dosa.or.jp/top_img/20180728.pdf'>https://www.dosa.or.jp/top_img/20180728.pdf</a>",お知らせ,,
,,sugimoto,2018/07/23,post,publish,9/2 佐賀測定会のお申込み受付は終了いたしました。,9/2 佐賀測定会のお申込み受付は終了いたしました。,お知らせ,,
,,sugimoto,2018/07/23,post,publish,9/2 石川測定会のお申込み受付は終了しました。,9/2 石川測定会のお申込み受付は終了しました。,お知らせ,,
,,sugimoto,2018/07/18,post,publish,8/26 宇都宮測定会のお申込み受付は終了いたしました。,8/26 宇都宮測定会のお申込み受付は終了いたしました。,お知らせ,,
